sourceRow,sourceColumn,level,reason,rawCourseCode,rawInstructor,rawValue,normalizedValue
1,,rejected,缺少课程代码，无法可靠关联到课程,,,浅浅广告一下！欢迎关注公众号“龙大硕果捞”,
2,,rejected,缺少课程代码，无法可靠关联到课程,,Wen Chen,Wen Chen | 作证，宏经课a率也低 | luk给分不好，但是讲的好，不适合摆烂人，同学们根据自身情况考虑吧，慎选 | 同上，宏经也教的很好！！！ | 在cuhsz没有上过陆教授的课绝对会后悔（讲的真的很好，可以把难的东西讲的简单明白，真的能学到很多。,
3,,info,同一单元格包含多位教师，已拆分为独立开课记录,ACT2111,"Vivian Mao,荣雪峰","Vivian Mao,荣雪峰",Vivian Mao|荣雪峰
9,,warning,教师缺失，使用占位值以保留课程与评价,ACT4262,,,未注明教师
10,,warning,源表课程前缀疑似录入错误，按同号官方课程修正,AVT4253,Weijia ZHI,AVT4253,ACT4253
11,,info,一个单元格包含多个课程代码，已拆分为独立课程,BIO1001/1002,,BIO1001/1002,BIO1001|BIO1002
11,,warning,教师缺失，使用占位值以保留课程与评价,BIO1001/1002,,,未注明教师
12,,warning,教师缺失，使用占位值以保留课程与评价,BIO1008,,,未注明教师
20,,warning,教师缺失，使用占位值以保留课程与评价,CHI1000,,,未注明教师
21,,warning,教师缺失，使用占位值以保留课程与评价,CHI2010,,,未注明教师
22,,warning,教师缺失，使用占位值以保留课程与评价,CHI2012,,,未注明教师
26,,warning,教师缺失，使用占位值以保留课程与评价,CHM1001,,,未注明教师
35,,warning,教师缺失，使用占位值以保留课程与评价,CSC1002,,,未注明教师
41,,warning,教师缺失，使用占位值以保留课程与评价,CSC3050,,,未注明教师
45,,warning,教师缺失，使用占位值以保留课程与评价,CSC3150,,,未注明教师
46,,warning,教师缺失，使用占位值以保留课程与评价,CSC3170,,,未注明教师
47,,warning,教师缺失，使用占位值以保留课程与评价,CSC4008,,,未注明教师
50,,warning,教师缺失，使用占位值以保留课程与评价,DDA2001,,,未注明教师
51,,warning,教师缺失，使用占位值以保留课程与评价,DDA2020,,,未注明教师
54,,warning,教师缺失，使用占位值以保留课程与评价,DDA3010,,,未注明教师
55,,warning,教师缺失，使用占位值以保留课程与评价,DDA3020,,,未注明教师
60,,warning,教师缺失，使用占位值以保留课程与评价,DMS2051,,,未注明教师
64,,warning,教师缺失，使用占位值以保留课程与评价,ECE3200,,,未注明教师
72,,warning,教师缺失，使用占位值以保留课程与评价,ECO2121,,,未注明教师
75,,warning,课程代码缺少前缀，依据上下相邻课程块补全,3110,Lin Wei,3110,ECO3110
76,,warning,课程代码缺少前缀，依据上下相邻课程块补全,3121,Lin Wei,3121,ECO3121
77,,warning,课程代码缺少前缀，依据上下相邻课程块补全,3121,Li Ming,3121,ECO3121
87,,warning,教师缺失，使用占位值以保留课程与评价,EIE4005,,,未注明教师
88,,warning,教师缺失，使用占位值以保留课程与评价,EIE4006,,,未注明教师
89,,warning,教师缺失，使用占位值以保留课程与评价,EIE4007,,,未注明教师
92,,warning,教师缺失，使用占位值以保留课程与评价,ENE4001,,,未注明教师
116,,warning,教师缺失，使用占位值以保留课程与评价,ENG1002,,,未注明教师
132,,warning,教师缺失，使用占位值以保留课程与评价,ENG2001,,,未注明教师
133,,warning,教师缺失，使用占位值以保留课程与评价,ENG2001,,,未注明教师
134,,warning,教师缺失，使用占位值以保留课程与评价,ENG2002B,,,未注明教师
135,,rejected,无法识别为有效课程代码,ERG 系列,Chang Tsung Hui,Chang Tsung Hui,
139,,warning,教师缺失，使用占位值以保留课程与评价,FIN2020,,,未注明教师
143,,warning,教师缺失，使用占位值以保留课程与评价,FIN3210,,,未注明教师
156,,info,一个单元格包含多个课程代码，已拆分为独立课程,FRN1001 /1002,TAN Xiaoying,FRN1001 /1002,FRN1001|FRN1002
163,,warning,教师缺失，使用占位值以保留课程与评价,GEB2001,,,未注明教师
171,,warning,教师缺失，使用占位值以保留课程与评价,GEB2406,,,未注明教师
172,,warning,教师缺失，使用占位值以保留课程与评价,GEB2501,,,未注明教师
174,,warning,教师缺失，使用占位值以保留课程与评价,GEB3101,,,未注明教师
187,,warning,教师缺失，使用占位值以保留课程与评价,GEC3102,,,未注明教师
200,,warning,教师缺失，使用占位值以保留课程与评价,GED2118,,,未注明教师
205,,warning,教师缺失，使用占位值以保留课程与评价,GED2402,,,未注明教师
214,,warning,教师缺失，使用占位值以保留课程与评价,GFH1000,,,未注明教师
224,,warning,教师缺失，使用占位值以保留课程与评价,GFN1000,,,未注明教师
225,,warning,教师缺失，使用占位值以保留课程与评价,GFN1000,,,未注明教师
249,,warning,教师缺失，使用占位值以保留课程与评价,MAT1011,,,未注明教师
258,,warning,教师缺失，使用占位值以保留课程与评价,MAT2042,,,未注明教师
259,,warning,教师缺失，使用占位值以保留课程与评价,MAT2050,,,未注明教师
265,,warning,教师缺失，使用占位值以保留课程与评价,MAT4001,,,未注明教师
266,,warning,教师缺失，使用占位值以保留课程与评价,MAT4004,,,未注明教师
267,,warning,教师缺失，使用占位值以保留课程与评价,MGT2020,,,未注明教师
268,,warning,教师缺失，使用占位值以保留课程与评价,MGT3010,,,未注明教师
269,,warning,教师缺失，使用占位值以保留课程与评价,MGT3070,,,未注明教师
285,,warning,教师缺失，使用占位值以保留课程与评价,MKT4040,,,未注明教师
295,,warning,教师缺失，使用占位值以保留课程与评价,PHY2001,,,未注明教师
313,,warning,教师缺失，使用占位值以保留课程与评价,STA2003,,,未注明教师
314,,warning,教师缺失，使用占位值以保留课程与评价,STA2004,,,未注明教师
315,,warning,教师缺失，使用占位值以保留课程与评价,STA3002,,,未注明教师
322,,warning,教师缺失，使用占位值以保留课程与评价,STA4020,,,未注明教师
323,,warning,教师缺失，使用占位值以保留课程与评价,TRA3240,,,未注明教师
324,,rejected,无法识别为有效课程代码,课程名,老师,老师 | 蹲蹲评价和wl,
325,,rejected,缺少课程代码，无法可靠关联到课程,,排球,排球 | 老师很好的，期中考砸了可以申请把权重移到期末 | 不算难 | 交表能过 | 其实不是很难抢,
