code,name,nameEn,school,tags
ACT2111,财务会计导论,Intro Financial Accounting,经管学院,历史评价|评价较多|给分讨论|工作量讨论
ACT3121,成本及管理会计,Cost and Management Accounting,经管学院,历史评价|给分讨论|难度讨论
ACT4253,商业道德与企业社会责任,Business Ethics and CSR,经管学院,历史评价|工作量讨论
ACT4262,中国税收,China Taxation,经管学院,历史评价
BIO1001,普通生物学,General Biology,医学院,历史评价|难度讨论
BIO1002,BIO1002（课程名称待补充）,,医学院,历史评价|课程名待补充|难度讨论
BIO1008,化学与生命科学,Chemistry and Life Sciences,医学院,历史评价|给分讨论|工作量讨论|难度讨论
CEC1000,CEC1000（课程名称待补充）,,大学核心课程,历史评价|课程名待补充|给分讨论
CEC2000,CEC2000（课程名称待补充）,,大学核心课程,历史评价|课程名待补充
CEC3000,CEC3000（课程名称待补充）,,大学核心课程,历史评价|课程名待补充
CHI1000,CHI1000（课程名称待补充）,,人文社科学院,历史评价|课程名待补充|评价丰富|给分讨论|工作量讨论|难度讨论
CHI2010,CHI2010（课程名称待补充）,,人文社科学院,历史评价|课程名待补充
CHI2012,CHI2012（课程名称待补充）,,人文社科学院,历史评价|课程名待补充|给分讨论
CHI3001,CHI3001（课程名称待补充）,,人文社科学院,历史评价|课程名待补充
CHI4001,CHI4001（课程名称待补充）,,人文社科学院,历史评价|课程名待补充
CHM1001,普通化学,General Chemistry,理工学院,历史评价|工作量讨论
CHM1011,普通化学荣誉课程,Honours General Chemistry,理工学院,历史评价|给分讨论
CSC1001,计算机科学导论：程序设计方法,Introduction to CS,数据科学学院,历史评价|评价较多|给分讨论|难度讨论
CSC1002,计算机实验,Computational Laboratory,数据科学学院,历史评价|评价较多|给分讨论|难度讨论
CSC1003,计算机科学与Java 程序设计导论,Intro to CS and JP,数据科学学院,历史评价|给分讨论|工作量讨论
CSC1005,计算机工程导论：程序设计与应用,Introduction to Computer Engin,理工学院,历史评价|评价较多
CSC3001,离散数学,Discrete Mathematics,数据科学学院,历史评价|给分讨论
CSC3002,C/C++程序设计,C/C++ Programming,数据科学学院,历史评价|难度讨论
CSC3050,计算机体系结构,Computer Architecture,数据科学学院,历史评价
CSC3100,数据结构,Data Structures,数据科学学院,历史评价
CSC3150,操作系统,Operating System,数据科学学院,历史评价|工作量讨论
CSC3170,数据库系统,Database System,数据科学学院,历史评价
CSC4008,数据挖掘技术,Techniques for Data Mining,数据科学学院,历史评价|难度讨论
CSC4140,计算机图形学,Computer Graphics,数据科学学院,历史评价|评价较多|给分讨论|工作量讨论
CSC4160,云端计算,Cloud Computing,数据科学学院,历史评价|难度讨论
DDA2001,数据科学基础,Introduction to Data Science,数据科学学院,历史评价
DDA2020,DDA2020（课程名称待补充）,,数据科学学院,历史评价|课程名待补充|给分讨论
DDA3005,数值方法,Numerical Methods,数据科学学院,历史评价|难度讨论
DDA3010,DDA3010（课程名称待补充）,,数据科学学院,历史评价|课程名待补充|给分讨论
DDA3020,机器学习,Machine Learning,数据科学学院,历史评价|评价较多|给分讨论|难度讨论
DDA4210,高等机器学习,Advanced Machine Learning,数据科学学院,历史评价
DDA4220,深度学习与应用,Deep Learning and Applications,数据科学学院,历史评价|给分讨论
DDA4230,强化学习,Reinforcement Learning,数据科学学院,历史评价
DMS2030,运营管理,Operations Management,经管学院,历史评价|评价较多|给分讨论
DMS2051,DMS2051（课程名称待补充）,,数据科学学院,历史评价|课程名待补充
DMS3003,数据分析和决策制定,Data Analytics,经管学院,历史评价
DMS3210,供应链管理热点,Topics in Supply Chain MGT,经管学院,历史评价
DOW1001,DOW1001（课程名称待补充）,,通识教育,历史评价|课程名待补充|给分讨论|工作量讨论|难度讨论
ECE3200,电子游戏设计与开发,Video Games Design and Develop,理工学院,历史评价
ECO2011,微观经济学导论,Introductory Microeconomics,经管学院,历史评价|评价较多|给分讨论
ECO2021,宏观经济学导论,Introductory Macroeconomics,经管学院,历史评价|给分讨论
ECO2121,统计学基础,Basic Statistics,经管学院,历史评价
ECO3080,商业运用中的机器学习,Machine Learning for Business,经管学院,历史评价
ECO3090,机器学习与金融经济学,Machine Learning for Financial,经管学院,历史评价|给分讨论|工作量讨论|难度讨论
ECO3110,行为经济学,Behavioral Economics,经管学院,历史评价|给分讨论
ECO3121,计量经济学导论,Introductory Econometrics,经管学院,历史评价|给分讨论
ECO3160,博弈论与商业战略,Game Theory and Business Strat,经管学院,历史评价
ECO3410,货币与金融机构经济学,Econ of Money & Fin Institute,经管学院,历史评价
ECO3470,劳动经济学,Labor Economics,经管学院,历史评价|给分讨论|难度讨论
ECO3610,国际贸易,International Trade,经管学院,历史评价
ECO3650,发展经济学,Development Economics,经管学院,历史评价
ECO3710,中国经济,China Economy,经管学院,历史评价|难度讨论
ECO4001,环境经济学与政策,Environmental Economics&Policy,经管学院,历史评价|给分讨论
EIE4005,EIE4005（课程名称待补充）,,理工学院,历史评价|课程名待补充
EIE4006,EIE4006（课程名称待补充）,,理工学院,历史评价|课程名待补充
EIE4007,计算机及网络安全,Computer and Network Security,理工学院,历史评价
EIE4512,数字图像处理,Digital Image Processing,理工学院,历史评价|给分讨论|工作量讨论|难度讨论
ENB2004,当代英语文学概论,Introduction to Con,人文社科学院,历史评价|给分讨论
ENE4001,ENE4001（课程名称待补充）,,理工学院,历史评价|课程名待补充|评价较多
ENG1001,基础英语,English Bridge Program (EBP),人文社科学院,历史评价|评价丰富|给分讨论|工作量讨论|难度讨论
ENG1002,学术英语（一）,English for Academic Purposes,人文社科学院,历史评价|评价丰富|给分讨论|工作量讨论|难度讨论
