courseCode,instructor,term,school
ACT2111,荣雪峰,历史评价（学期未注明）,经管学院
ACT2111,"Cao, yi",历史评价（学期未注明）,经管学院
ACT2111,Na Liu,历史评价（学期未注明）,经管学院
ACT2111,Vivian Mao,历史评价（学期未注明）,经管学院
ACT3121,"Park, Zhonghan",历史评价（学期未注明）,经管学院
ACT4253,Weijia ZHI,历史评价（学期未注明）,经管学院
ACT4253,Zhang Wen,历史评价（学期未注明）,经管学院
ACT4262,未注明教师,历史评价（学期未注明）,经管学院
BIO1001,未注明教师,历史评价（学期未注明）,医学院
BIO1002,未注明教师,历史评价（学期未注明）,医学院
BIO1008,未注明教师,历史评价（学期未注明）,医学院
CEC1000,Guangming Mo,历史评价（学期未注明）,大学核心课程
CEC1000,Wang Xueshi,历史评价（学期未注明）,大学核心课程
CEC2000,zhangjunfu,历史评价（学期未注明）,大学核心课程
CEC3000,yang jie,历史评价（学期未注明）,大学核心课程
CHI1000,未注明教师,历史评价（学期未注明）,人文社科学院
CHI1000,Lin Chengchuan,历史评价（学期未注明）,人文社科学院
CHI1000,Qiying Zhang,历史评价（学期未注明）,人文社科学院
CHI1000,Yue CHEN,历史评价（学期未注明）,人文社科学院
CHI2010,未注明教师,历史评价（学期未注明）,人文社科学院
CHI2012,未注明教师,历史评价（学期未注明）,人文社科学院
CHI3001,Lu Shitu,历史评价（学期未注明）,人文社科学院
CHI4001,"Jin, Jia",历史评价（学期未注明）,人文社科学院
CHM1001,未注明教师,历史评价（学期未注明）,理工学院
CHM1001,Tiankai CHEN,历史评价（学期未注明）,理工学院
CHM1011,Jun ZHU,历史评价（学期未注明）,理工学院
CSC1001,He Pinjia,历史评价（学期未注明）,数据科学学院
CSC1001,Li Tongxin,历史评价（学期未注明）,数据科学学院
CSC1001,Yu Tianshu,历史评价（学期未注明）,数据科学学院
CSC1001,Zhao Junhua,历史评价（学期未注明）,数据科学学院
CSC1002,未注明教师,历史评价（学期未注明）,数据科学学院
CSC1002,"Lam, Kinley",历史评价（学期未注明）,数据科学学院
CSC1002,"Zhang, Zhuoran",历史评价（学期未注明）,数据科学学院
CSC1002,"Zhu, Jian",历史评价（学期未注明）,数据科学学院
CSC1003,Wenye LI,历史评价（学期未注明）,数据科学学院
CSC1005,"赵俊华 (ZHAO, Junhua)",历史评价（学期未注明）,理工学院
CSC3001,wangbaoxiang,历史评价（学期未注明）,数据科学学院
CSC3002,huangrui,历史评价（学期未注明）,数据科学学院
CSC3050,未注明教师,历史评价（学期未注明）,数据科学学院
CSC3100,Fang Yixiang,历史评价（学期未注明）,数据科学学院
CSC3100,Wu Zhizheng,历史评价（学期未注明）,数据科学学院
CSC3100,Yu Tianshu,历史评价（学期未注明）,数据科学学院
CSC3150,未注明教师,历史评价（学期未注明）,数据科学学院
CSC3170,未注明教师,历史评价（学期未注明）,数据科学学院
CSC4008,未注明教师,历史评价（学期未注明）,数据科学学院
CSC4140,Qilin Sun,历史评价（学期未注明）,数据科学学院
CSC4160,黄铠,历史评价（学期未注明）,数据科学学院
DDA2001,未注明教师,历史评价（学期未注明）,数据科学学院
DDA2020,未注明教师,历史评价（学期未注明）,数据科学学院
DDA3005,andre,历史评价（学期未注明）,数据科学学院
DDA3005,Andre Manfred Milzarek,历史评价（学期未注明）,数据科学学院
DDA3010,未注明教师,历史评价（学期未注明）,数据科学学院
DDA3020,未注明教师,历史评价（学期未注明）,数据科学学院
DDA4210,Fan Jicong,历史评价（学期未注明）,数据科学学院
DDA4220,Zhang Ruimao,历史评价（学期未注明）,数据科学学院
DDA4230,wangbaoxiang,历史评价（学期未注明）,数据科学学院
DMS2030,Shi Duo,历史评价（学期未注明）,经管学院
DMS2051,未注明教师,历史评价（学期未注明）,数据科学学院
DMS3003,Liu Ming,历史评价（学期未注明）,经管学院
DMS3210,林至颖,历史评价（学期未注明）,经管学院
DOW1001,Ham Pooi Huen,历史评价（学期未注明）,通识教育
ECE3200,未注明教师,历史评价（学期未注明）,理工学院
ECO2011,Barick,历史评价（学期未注明）,经管学院
ECO2011,Emily Zheng,历史评价（学期未注明）,经管学院
ECO2011,Tat How Teh,历史评价（学期未注明）,经管学院
ECO2011,Yue CAO,历史评价（学期未注明）,经管学院
ECO2011,Zheng Yiying,历史评价（学期未注明）,经管学院
ECO2021,"KHOO, Lawrence",历史评价（学期未注明）,经管学院
ECO2021,"Martin, SHU",历史评价（学期未注明）,经管学院
ECO2121,未注明教师,历史评价（学期未注明）,经管学院
ECO3080,陈齐辉,历史评价（学期未注明）,经管学院
ECO3090,Fang Yue,历史评价（学期未注明）,经管学院
ECO3110,Lin Wei,历史评价（学期未注明）,经管学院
ECO3121,Huaiping YUAN,历史评价（学期未注明）,经管学院
ECO3121,Li Ming,历史评价（学期未注明）,经管学院
ECO3121,Lin Wei,历史评价（学期未注明）,经管学院
ECO3160,"SONG, Yangbo",历史评价（学期未注明）,经管学院
ECO3410,Li Zehao,历史评价（学期未注明）,经管学院
ECO3470,Tony Fang,历史评价（学期未注明）,经管学院
ECO3470,"Yuan, Huaiping",历史评价（学期未注明）,经管学院
ECO3610,Xu Sichuang,历史评价（学期未注明）,经管学院
ECO3650,SHU Martin,历史评价（学期未注明）,经管学院
ECO3710,"LUK, YF",历史评价（学期未注明）,经管学院
ECO4001,Zhang Peng,历史评价（学期未注明）,经管学院
EIE4005,未注明教师,历史评价（学期未注明）,理工学院
EIE4006,未注明教师,历史评价（学期未注明）,理工学院
EIE4007,未注明教师,历史评价（学期未注明）,理工学院
EIE4512,Zhen Li,历史评价（学期未注明）,理工学院
ENB2004,"STERNE, Melvin",历史评价（学期未注明）,人文社科学院
ENE4001,未注明教师,历史评价（学期未注明）,理工学院
ENG1001,"Cao, Derong",历史评价（学期未注明）,人文社科学院
ENG1001,Liu Liming,历史评价（学期未注明）,人文社科学院
ENG1001,Liu Yingxin,历史评价（学期未注明）,人文社科学院
ENG1001,Shengjie ZHAI,历史评价（学期未注明）,人文社科学院
ENG1001,"Wang, Qian",历史评价（学期未注明）,人文社科学院
ENG1001,Yang Yang,历史评价（学期未注明）,人文社科学院
ENG1001,"Yang, Rong",历史评价（学期未注明）,人文社科学院
ENG1002,未注明教师,历史评价（学期未注明）,人文社科学院
ENG1002,"CHEN, Pin-H",历史评价（学期未注明）,人文社科学院
ENG1002,"GAN, Linhan",历史评价（学期未注明）,人文社科学院
ENG1002,"Guo, Xin",历史评价（学期未注明）,人文社科学院
ENG1002,"Hou, Shuozhao",历史评价（学期未注明）,人文社科学院
ENG1002,"James, Kalanipua Armitage",历史评价（学期未注明）,人文社科学院
ENG1002,Liu Liming,历史评价（学期未注明）,人文社科学院
ENG1002,Liu Yingxin,历史评价（学期未注明）,人文社科学院
ENG1002,"Nie, Yilu",历史评价（学期未注明）,人文社科学院
ENG1002,"PANG, Hui",历史评价（学期未注明）,人文社科学院
ENG1002,"Wang, Kaixi",历史评价（学期未注明）,人文社科学院
ENG1002,"Xiao, Yang",历史评价（学期未注明）,人文社科学院
ENG1002,Yang Yang,历史评价（学期未注明）,人文社科学院
ENG1002,"Yang, Rong",历史评价（学期未注明）,人文社科学院
ENG1002,"Yang, Wenhao",历史评价（学期未注明）,人文社科学院
ENG1002,"Ying, Jia",历史评价（学期未注明）,人文社科学院
ENG1002,"Zhao, Ziwei",历史评价（学期未注明）,人文社科学院
ENG2001,未注明教师,历史评价（学期未注明）,人文社科学院
ENG2001,Charlie,历史评价（学期未注明）,人文社科学院
ENG2001,Colum Ruane,历史评价（学期未注明）,人文社科学院
ENG2001,Gong Wengao,历史评价（学期未注明）,人文社科学院
ENG2001,Hong Mingyan,历史评价（学期未注明）,人文社科学院
