author_id,target_type,target_id,target,context,rating,content,status,is_historical,instructor,term,course_code,source_row,source_column,source_workbook
legacy:475a833eb0001b5518dd519eeac4efb6263562ae,course,cuhksz_course_act2111,财务会计导论,"Cao, yi · 历史评价（学期未注明）",,caoyi单纯从相处的角度来看让人不适,published,True,"Cao, yi",历史评价（学期未注明）,ACT2111,2,D,课程评价.xlsx
legacy:983bcac50afa5b6db0142c3c0c98ff20582e935e,course,cuhksz_course_act2111,财务会计导论,"Cao, yi · 历史评价（学期未注明）",,很负责任啊，讲得也很清楚，发邮件基本都是很快就回了,published,True,"Cao, yi",历史评价（学期未注明）,ACT2111,2,E,课程评价.xlsx
legacy:ea865d21a6d5bc51a8c0406bb173f5c29d5100fc,course,cuhksz_course_act2111,财务会计导论,"Cao, yi · 历史评价（学期未注明）",,虽然迟到早退看起来像摆子，但是课真的能讲完而且讲得还不错。。。,published,True,"Cao, yi",历史评价（学期未注明）,ACT2111,2,F,课程评价.xlsx
legacy:8acb38f698f34938c6d0738829efbe5e2084a159,course,cuhksz_course_act2111,财务会计导论,"Cao, yi · 历史评价（学期未注明）",,讲得让我很听不懂；相比之下liuna的ppt不要太好懂🥺,published,True,"Cao, yi",历史评价（学期未注明）,ACT2111,2,G,课程评价.xlsx
legacy:ead2da7bd2923f6ed2c14fb308258f9b6ccfcc8e,course,cuhksz_course_act2111,财务会计导论,Na Liu · 历史评价（学期未注明）,,Kenny万岁！人很温柔且课讲得很好，ppt也很清楚，上他的课都不需要看课本！,published,True,Na Liu,历史评价（学期未注明）,ACT2111,3,D,课程评价.xlsx
legacy:9c160558432a72f4f7617d2f7b704eead4cf01f1,course,cuhksz_course_act2111,财务会计导论,Na Liu · 历史评价（学期未注明）,,娜姐人挺好的，讲课也不错，就是可能会有一点点快，可以提前做一下预习～,published,True,Na Liu,历史评价（学期未注明）,ACT2111,3,E,课程评价.xlsx
legacy:5d41ca1f42b2d02e33ea2c15f1e0d36921946e71,course,cuhksz_course_act2111,财务会计导论,Na Liu · 历史评价（学期未注明）,,我永远爱Kenny!,published,True,Na Liu,历史评价（学期未注明）,ACT2111,3,F,课程评价.xlsx
legacy:5e2d774803f3e246199ee8c1c8d24f4909bf4042,course,cuhksz_course_act2111,财务会计导论,Na Liu · 历史评价（学期未注明）,,怀念Kenny！,published,True,Na Liu,历史评价（学期未注明）,ACT2111,3,G,课程评价.xlsx
legacy:5d877bc77ae1921dacdc745eb364e6b95a5d3d5f,course,cuhksz_course_act2111,财务会计导论,Na Liu · 历史评价（学期未注明）,,上课挺好的，就是有点催眠，，，,published,True,Na Liu,历史评价（学期未注明）,ACT2111,3,H,课程评价.xlsx
legacy:f24869bdde8288b81d687a1837be821cc354dda2,course,cuhksz_course_act2111,财务会计导论,Na Liu · 历史评价（学期未注明）,,刘娜挺好就是有点困,published,True,Na Liu,历史评价（学期未注明）,ACT2111,3,I,课程评价.xlsx
